stamp,measured_d,measured_theta,true_d,true_theta,err_d,err_theta,color
1762576478.3202248,0.0,0.0,0.0,0.0,0.0,0.0,cyan
8.064,1.332835209584698,0.002356410155998351,1.499707586184251,0.00024380269468950437,-0.166872376599553,0.002112607461308847,cyan
8.098,1.332835209584698,0.002356410155998351,1.4997093914734259,0.00024518547649590554,-0.16687418188872782,0.0021112246795024457,cyan
8.132,1.3328328413333725,-0.0014138477683994684,1.4997082901028143,0.00024598594862950947,-0.16687544876944171,-0.0016598337170289777,cyan
8.164,1.3328321012539706,-0.0009425655278507174,1.4997045856533755,0.00024630162113489323,-0.16687248439940494,-0.0011888671489856107,cyan
8.198,1.332835209584698,0.002356410155998351,1.4996989364391557,0.0002462677666299421,-0.16686372685445772,0.0021101423893684092,cyan
8.232,1.3262004883093645,-0.0070691257959794186,1.499689195276943,0.0002458055109496691,-0.17348870696757857,-0.007314931306929087,cyan
8.264,1.332835209584698,0.002356410155998351,1.4996780057904842,0.0002448890102993602,-0.16684279620578613,0.002111521145698991,cyan
8.298,1.3261710335367745,0.002356410155998351,1.4996672337337453,0.00024377624468965904,-0.17349620019697087,0.002112633911308692,cyan
8.332,1.332835209584698,0.002356410155998351,1.4996581302762568,0.0002420591985571212,-0.1668229206915588,0.00211435095744123,cyan
8.366,1.3261679407477007,-0.0009425655278507174,1.499648630788892,0.00024083618856494938,-0.17348069004119138,-0.0011834017164156667,cyan
8.398,1.332835209584698,0.002356410155998351,1.499639635849845,0.00023983693072810125,-0.1668044262651469,0.00211657322527025,cyan
8.432,1.3328368377550435,0.002827689884355678,1.4996316487570387,0.0002395956835108041,-0.16679481100199522,0.002588094200844874,cyan
8.464,1.3261710335367745,0.002356410155998351,1.4996289088873451,0.0002401318358341259,-0.17345787535057067,0.002116278320164225,cyan
8.498,1.326368957037218,0.017435700375512925,1.4996285769321116,0.0002415334288617303,-0.1732596198948937,0.017194166946651195,cyan
8.532,1.3261679407477007,-0.0009425655278507174,1.4996312730487098,0.00024343926753333245,-0.17346333230100908,-0.00118600479538405,cyan
8.564,1.3261851719092614,-0.005184065498136234,1.4996363496301413,0.00024564275280387264,-0.1734511777208798,-0.005429708250940107,cyan
8.598,1.3463633916220312,0.0009425655278507174,1.499644937178018,0.0002485186699181369,-0.15328154555598683,0.0006940468579325805,cyan
8.632,1.332835209584698,0.002356410155998351,1.4996546974621723,0.00025182106684537754,-0.16681948787747425,0.0021045890891529737,cyan
8.664,1.3262150681797418,-0.008482888782475311,1.4996617809977897,0.000254571083412665,-0.1734467128180479,-0.008737459865887975,cyan
8.698,1.3328338774438453,0.0018851293808978522,1.4996694430800206,0.0002583973671224398,-0.1668355656361753,0.0016267320137754123,cyan
8.732,1.3261697080566262,0.0018851293808978522,1.4996756628889025,0.0002610456746215702,-0.17350595483227638,0.001624083706276282,cyan
8.764,1.3328368377550435,0.002827689884355678,1.499680590529042,0.00026348429923807873,-0.16684375277399854,0.0025642055851175993,cyan
8.798,1.3328321012539706,-0.0009425655278507174,1.499681592758946,0.0002646056589505131,-0.1668494915049754,-0.0012071711868012305,cyan
8.832,1.3328368377550435,0.002827689884355678,1.499680540434817,0.00026531793481143355,-0.16684370267977355,0.0025623719495442444,cyan
8.864,1.3328321012539706,-0.0009425655278507174,1.4996772003290435,0.0002656783871098312,-0.16684509907507294,-0.0012082439149605486,cyan
8.898,1.3328368377550435,0.002827689884355678,1.499669458192283,0.00026558892716279194,-0.16683262043723945,0.002562100957192886,cyan
8.932,1.3261697080566262,0.0018851293808978522,1.4996597546896868,0.00026503324756208435,-0.17349004663306067,0.001620096133335768,cyan
8.964,1.3328328413333725,0.0014138477683994684,1.4996515660793397,0.00026432343373372207,-0.16681872474596715,0.0011495243346657464,cyan
9.0,1.333034127675596,0.017435700375512925,1.4996400066276285,0.00026310864779887966,-0.1666058789520326,0.017172591727714046,cyan
9.034,1.332835209584698,0.002356410155998351,1.4996292608046438,0.00026124690939608467,-0.16679405121994573,0.0020951632466022665,cyan
9.064,1.34636413921493,0.0014138477683994684,1.4996165357648867,0.00025946439265767476,-0.15325239654995682,0.0011543833757417937,cyan
9.098,1.3261962174078907,-0.006597864908204109,1.4996082529298815,0.00025870731827958666,-0.1734120355219908,-0.006856572226483696,cyan
9.132,1.3261679407477007,-0.0009425655278507174,1.4996027679116188,0.00025841297427255995,-0.17343482716391811,-0.0012009785021232773,cyan
9.164,1.34636413921493,0.0014138477683994684,1.4995988803840141,0.00025903383862191934,-0.1532347411690842,0.001154813929777549,cyan
9.198,1.34636413921493,0.0014138477683994684,1.4995988890332517,0.0002605155542553034,-0.15323474981832175,0.001153332214144165,cyan
9.232,1.3261686771267058,-0.0014138477683994684,1.4996019041039828,0.00026254833216132723,-0.17343322697727692,-0.0016763961005607955,cyan
9.264,1.3261962174078907,-0.006597864908204109,1.499610851730132,0.000266193823519056,-0.17341463432224136,-0.006864058731723166,cyan
9.298,1.3463651858442904,-0.0018851293808978522,1.4996168868784703,0.00026808015230260794,-0.15325170103417984,-0.00215320953320046,cyan
9.332,1.332835209584698,0.002356410155998351,1.499625974496163,0.000271144214442435,-0.16679076491146505,0.002085265941555916,cyan
9.364,1.3261686771267058,-0.0014138477683994684,1.4996340088608697,0.00027496375002606505,-0.1734653317341639,-0.0016888115184255335,cyan
9.398,1.332835209584698,0.002356410155998351,1.499641521710927,0.0002780853356145547,-0.16680631212622887,0.0020783248203837964,cyan
9.432,1.3262004883093645,-0.0070691257959794186,1.499647841969219,0.00028069144645471333,-0.17344735365985442,-0.007349817242434132,cyan
